"CountryID","Richness","WithDistData","WithoutDistData","PropWithDistData","PropWithoutDistData","RateofDescription","ComparativeUndersampling","AverageModelDifference","StandardDeviationModelDifference","AverageSamplingCoverage","StandardDeviationSamplingCoverage","CountryName"
"PRT",733,675,58,0.92087312414734,0.0791268758526603,0.101006871341745,18.5663073149959,100.297747764097,93.105773982278,0.719928755842535,0.172038799928097,"Portugal"
"ROU",765,335,430,0.437908496732026,0.562091503267974,0.0278794552875406,48.3378619388534,34.4424826986675,26.8981856863418,0.747936557144808,0.196207219702169,"Romania"
"ITG2",333,129,204,0.387387387387387,0.612612612612613,0.0645044906258753,55.2263648012093,26.8960946325318,12.9360741247912,0.65645859058858,0.237519870708432,"Sardegna"
"SRB",708,230,478,0.324858757062147,0.675141242937853,0.0214977028772636,55.5951557927442,26.5423304434101,22.1210068038729,0.673526715027396,0.239179799892343,"Serbia"
"ITG1",636,267,369,0.419811320754717,0.580188679245283,0.0529190574727408,28.2363914009347,70.87868760694,30.5100690064856,0.595779495010041,0.30871777400232,"Sicilia"
"SVK",679,274,405,0.403534609720177,0.596465390279823,0.00894554887313152,22.4991031230531,87.0905847700547,46.8065282729912,0.870429680567382,0.0734373581481353,"Slovakia"
"SVN",576,238,338,0.413194444444444,0.586805555555556,0.0211447987248331,14.3222518910767,116.805771123419,52.1132432777019,0.749742246012332,0.160728060331273,"Slovenia"
"ESP",1089,857,232,0.786960514233242,0.213039485766758,0.151463004612192,33.7645973977933,58.11926720887,42.041429073016,0.772897884857201,0.178409815190074,"Spain"
"SWE",281,278,3,0.98932384341637,0.0106761565836299,0.0108225108225108,19.3395956528929,97.5515342245044,61.851411776556,0.804244816125263,0.189024213711112,"Sweden"
"CHE",573,567,6,0.989528795811518,0.0104712041884817,0.0265817691601448,4.77879985339243,164.537681359022,45.6066222982627,0.984923015754623,0.0237356280261407,"Switzerland"
"GBR",261,250,11,0.957854406130268,0.0421455938697318,0.0116550116550117,11.0203959492413,131.506339486982,70.5058692087865,0.958855685283385,0.0653018429778862,"United Kingdom"
