"ID","ComparativeUndersampling","WMDiff","SDDiff","WMCov","SDCov","NAME"
"DE12",27.1512113000314,149.898913276305,61.457703555836,0.935515180736848,0.0346001999447275,"Karlsruhe"
"DE13",25.9476539870725,159.599650675962,56.1298921437361,0.913864281327724,0.0509677266740105,"Freiburg"
"DE14",45.1205357352238,58.7757538153482,40.002294924217,0.928567053677251,0.0249177917973885,"Tübingen"
"DE21",33.6606690589763,106.783942382169,47.5510293276065,0.909571071482763,0.0394728336378917,"Oberbayern"
"DE22",27.8887865829922,144.247742385634,60.9011930703019,0.868049231457936,0.0443361432295343,"Niederbayern"
"DE23",32.7490457078942,111.978250237783,37.8846828893402,0.866505995933663,0.051290617515288,"Oberpfalz"
"DE24",28.5646133541801,139.256917444623,49.6062858961266,0.897165986567567,0.0527026304360403,"Oberfranken"
"DE25",31.1237197423832,121.873893260346,47.8948503079525,0.889135424991513,0.0565429711845548,"Mittelfranken"
"DE26",32.9602205898411,110.752955523933,34.5083678518599,0.902201174534296,0.0411004693192697,"Unterfranken"
"DE27",45.7021738143226,57.0213128157281,45.6518942157651,0.897684967468854,0.043881310895645,"Schwaben"
"DE30",33.9396501065694,105.243023538988,23.9293423118871,0.972689390302152,0.0114247422990351,"Berlin"
"DE40",35.1883910025577,98.6137500689536,43.6830533584347,0.879311581857134,0.0697041005959658,"Brandenburg"
"DE50",31.1540761312943,121.681287619254,27.4475189332706,0.955360320537181,0.0289702283445474,"Bremen"
"DE60",29.9402536977211,129.625224780643,21.9713622164146,0.984508471100471,0.00930640730341786,"Hamburg"
"DE71",40.9092125346097,73.1964098198553,27.0173009830876,0.960173792099477,0.0209528416056876,"Darmstadt"
"DE72",28.8580631572861,137.143981040175,105.477892525565,0.939446074587531,0.0218203651240059,"Gießen"
"DE73",34.9390896611894,99.9030004840819,57.4488059250556,0.921094286463932,0.0311245457940789,"Kassel"
"DE80",35.8556969449448,95.2440889438289,37.0053075754828,0.889953310156106,0.0684498766400855,"Mecklenburg-Vorpommern"
"DE91",34.9872830678498,99.6524630450848,40.2014243697641,0.95217646971983,0.0300373600598743,"Braunschweig"
"DE92",32.4494302708232,113.73999768099,37.0396163500142,0.949490124053666,0.0331314069244949,"Hannover"
"DE93",30.8916305761281,123.356567023783,31.3505004661527,0.934105039425951,0.0478846762305608,"Lüneburg"
"DE94",37.7548182838824,86.2711780613744,42.3888576213354,0.929770198210553,0.0494763492003179,"Weser-Ems"
"DEA1",29.6635159241878,131.507765040457,40.268306137718,0.970022212367324,0.0204460637746898,"Düsseldorf"
"DEA2",23.4084692321974,182.174360222362,61.1485960384318,0.957194956331862,0.0262360768690368,"Köln"
"DEA3",43.5680580865448,63.727494313725,46.3410985804473,0.969672185582966,0.0170340441765601,"Münster"
"DEA4",43.4064810192265,64.2662445763544,54.2548825571888,0.940655022388822,0.03539575297723,"Detmold"
"DEA5",34.8707512009559,100.259343886408,57.7281034910729,0.931417298147123,0.0399116311916452,"Arnsberg"
"DEB1",28.253765643193,141.530640963955,36.5320376881083,0.918347751234676,0.0380168653959032,"Koblenz"
"DEB2",29.7867289698917,130.666241159852,50.633422334464,0.925413531062004,0.0300870266675652,"Trier"
"DEB3",32.1121043341248,115.756675695169,55.6997520630616,0.94595932132881,0.025307511001287,"Rheinhessen-Pfalz"
"DEC0",48.2809804916683,49.8523174321938,29.5720506912244,0.914463334087646,0.0493403099973145,"Saarland"
"DED2",30.7060800363586,124.554898772243,43.9535446902995,0.893935014578553,0.0495611168985273,"Dresden"
"DED4",34.5060445618121,102.182669712466,38.793944651287,0.923307677627394,0.0449393091971394,"Chemnitz"
"DED5",29.6948894935446,131.292976042117,55.1002444084726,0.922979989782222,0.0420961774915223,"Leipzig"
"DEE0",35.925734085689,94.8971716838239,45.6838469765841,0.890422954845504,0.0483360878089783,"Sachsen-Anhalt"
"DEF0",32.1848144261586,115.318982306994,46.1337588586989,0.941505183839635,0.0504752031643619,"Schleswig-Holstein"
"DEG0",28.6405096625451,138.70733778534,53.382328820226,0.928818168288836,0.0338221111238863,"Thüringen"
"DK01",41.446335551841,71.176404759836,28.4668822774181,0.869573241996362,0.13971681713631,"Hovedstaden"
"DK02",31.3357024811171,120.535244366624,40.4159336788444,0.813348847372266,0.243563371892141,"Sjælland"
"DK03",31.2469936248596,121.093633111493,37.9751511932302,0.846959658605828,0.133645708949903,"Syddanmark"
"DK04",34.0326756174938,104.734167482116,34.1469714190688,0.899015392655836,0.11000581532594,"Midtjylland"
"DK05",37.8381494967796,85.8974268627633,31.2165745041846,0.844824196850276,0.133615643432297,"Nordjylland"
"EE00",28.5361829710262,139.46334743492,57.724478330127,0.862192964541098,0.0796459551257449,"Eesti"
"EL30",57.4565744211763,30.9075736365994,21.5177913046184,0.513894301593752,0.305394388885849,"Attica"
"EL41(Part)",89.4719748280498,5.82958354226701,2.83017272337243,0.598276746354833,0.148685679697222,"North Aegean"
"EL41.42",59.2267781365851,28.1844580510673,25.6618894317091,0.617893434532254,0.242026377391955,"East Aegean"
"EL42(Part)",83.5188568290478,7.94953096208442,9.81511703588539,0.517600366417229,0.244217798510615,"South Aegean"
"EL43",53.5025168835083,37.9782732487357,18.85265823474,0.698839140558687,0.21764373374347,"Crete"
"EL51",65.1611193187908,20.6885753468354,16.531161117168,0.616030640644692,0.228014428065646,"Eastern Macedonia and Thrace"
"EL52",53.6560216356069,37.6757400120899,16.0945401906925,0.580526923310021,0.285561467540065,"Central Macedonia"
"EL53",51.9345703810205,41.2110681296108,27.8536772341627,0.573276255949361,0.279464429535113,"Western Macedonia"
"EL54",55.5323623011271,34.16685124224,22.4973833574385,0.643173621751037,0.178952697802381,"Epirus"
"EL61",47.5580047475645,51.7659824463171,23.9921255292952,0.609941152202793,0.248563260301092,"Thessaly"
"EL62",59.4173047569249,27.9060619322018,25.4779740279107,0.550734707316012,0.243036007209202,"Ionian Islands"
"EL63",58.5618329866089,29.1780129076521,25.9232565871461,0.480374819737969,0.238301712549168,"Western Greece"
"EL64",51.0802000159648,43.0869851742948,27.5340725206151,0.536482457755513,0.302912860210596,"Central Greece"
"EL65",45.0962679286121,58.8501164777009,36.4159630270545,0.492274365704744,0.307258128292521,"Peloponnese"
"EO21",64.4659619034384,21.4516269633028,0,0.582142857142857,0,"Gibraltar"
"ES11",57.4955156700533,30.8449287106395,27.4493514825963,0.783356997073445,0.157733877536436,"Galicia"
"ES12",39.8532194146837,77.3364492464059,54.3900209038298,0.835342141740194,0.129564790046032,"Principado de Asturias"
"ES13",48.1877482160194,50.0950670065207,19.9751818761534,0.846785352302752,0.134281166229519,"Cantabria"
"ES21",49.7614613805421,46.1514999940693,28.423292703697,0.729664232121866,0.124095457169141,"País Vasco"
"ES22",52.0101226762456,41.0491637325065,21.1571931074592,0.825222792317651,0.131412240809129,"Comunidad Foral de Navarra"
"ES23",60.0201014344108,27.0432443617931,11.1979719346779,0.659763377166353,0.286576680259941,"La Rioja"
"ES24",54.8616222342362,35.3819777319069,20.7906601296737,0.742612700732501,0.192728253147973,"Aragón"
"ES30",33.2282320448906,109.217166328329,55.7170833291456,0.819240223761355,0.106747721538151,"Comunidad de Madrid"
"ES41",56.6459787908937,32.2408614751299,19.7465315498963,0.739623222127592,0.181207201831595,"Castilla y León"
"ES42",61.6259726344483,24.8726464440788,20.9490490132352,0.71517858283599,0.190624698457208,"Castilla-La Mancha"
"ES43",63.8089695104316,22.1986369794073,17.1538466615626,0.738477918470886,0.192917301574922,"Extremadura"
"ES51",45.3860508907252,57.968261073804,28.7029580664114,0.826337766541608,0.1024365813989,"Cataluña"
"ES52",52.401409780765,40.2207790482956,24.4198037497579,0.776385683823248,0.150171867679359,"Comunidad Valenciana"
"ES53",49.4515151764654,46.902837586329,14.7334753042858,0.86509147104348,0.174163615587161,"Illes Balears"
"ES61",47.7300591101267,51.3040094024621,28.6073015697711,0.721748204489007,0.185422728272804,"Andalucía"
"ES62",55.6687819124565,33.9248648903694,19.2627776041297,0.702619279277445,0.188721207026985,"Región de Murcia"
"FI19",37.9810923920013,85.2600766678002,40.5672677367464,0.895012459228941,0.0934732471605003,"Länsi-Suomi"
"FI1B",23.3713363952796,182.527150956793,30.6565267085616,0.955677371269889,0.0621659971604102,"Helsinki-Uusimaa"
"FI1C",26.4832644638187,155.207401739084,55.1290959291577,0.91311891780815,0.096068621069887,"Etelä-Suomi"
"FI1D",39.5444081057295,78.5908246405168,58.5024540372767,0.867114783503066,0.126963376135687,"Pohjois- ja Itä-Suomi"
"FI20",36.265252020861,93.2332532024396,38.1753730173416,0.899714593618863,0.151262145400702,"Åland"
"FR10",27.6714026443644,145.890788798365,110.96970751743,0.891873939895854,0.0532777191470853,"Ile-de-France"
"FRB0",43.4759649339315,64.0340067681069,32.599247395493,0.79581343881556,0.106083916564391,"Centre - Val de Loire"
"FRC1",42.8579282412129,66.1295065064622,38.1661400874761,0.682476854587894,0.169039479068545,"Bourgogne"
"FRC2",39.2242126106748,79.9129307563626,54.7154944016408,0.76694166672867,0.135617370671602,"Franche-Comté"
"FRD1",37.4494008092887,87.6549713266325,40.0765684872513,0.833824368499249,0.0871769963989839,"Basse-Normandie "
"FRD2",38.5337367216415,82.8401312092427,30.8918428780621,0.765103128539448,0.126693792610494,"Haute-Normandie "
"FRE1",23.7032103976706,179.39816947482,70.1653432805127,0.899591072655744,0.0551970655738487,"Nord-Pas de Calais"
"FRE2",29.888923282657,129.972358478811,54.8145837309625,0.868041775631269,0.057067961602254,"Picardie"
"FRF1",28.9075799390111,136.790618366795,46.0502404645136,0.858442946876691,0.0644313115985979,"Alsace"
"FRF2",40.6054648217347,74.364013506805,58.8799962151389,0.710404409930887,0.189639131610198,"Champagne-Ardenne"
"FRF3",42.1134590587647,68.744939302686,43.2808161827316,0.74677241556626,0.126324179566873,"Lorraine"
"FRG0",47.5141884000097,51.8842942465883,31.8250549447945,0.737223719534305,0.171090115512494,"Pays de la Loire"
"FRH0",44.4887765106104,60.74259171746,27.9274833262223,0.756426667659292,0.133901183923009,"Bretagne"
"FRI1",34.3294777289592,103.127028752718,51.6934374120809,0.69267457461059,0.119252648550133,"Aquitaine"
"FRI2",36.3120585601913,93.0061624076426,60.272359909734,0.657090116792416,0.150745600083068,"Limousin"
"FRI3",50.1743200567537,45.1693535578064,35.6279845037049,0.656291388453263,0.168844801350091,"Poitou-Charentes"
